"","Country","n"
"1","Australia",69
"2","Austria",19
"3","Bahrain",4
"4","Belgium",119
"5","Brazil",1
"6","Canada",6
"7","Channel Islands",33
"8","Cyprus",20
"9","Czech Republic",5
"10","Denmark",21
"11","EIRE",360
"12","European Community",5
"13","Finland",48
"14","France",461
"15","Germany",603
"16","Greece",6
"17","Hong Kong",15
"18","Iceland",7
"19","Israel",9
"20","Italy",55
"21","Japan",28
"22","Lebanon",1
"23","Lithuania",4
"24","Malta",10
"25","Netherlands",101
"26","Norway",40
"27","Poland",24
"28","Portugal",71
"29","RSA",1
"30","Saudi Arabia",2
"31","Singapore",10
"32","Spain",105
"33","Sweden",46
"34","Switzerland",74
"35","United Arab Emirates",3
"36","United Kingdom",23494
"37","Unspecified",13
"38","USA",7
