"","Country","n"
"1","United Kingdom",4065
"2","EIRE",1976
"3","Germany",1671
"4","France",1543
"5","Spain",1093
"6","Switzerland",978
"7","Netherlands",785
"8","Belgium",778
"9","Portugal",706
"10","Australia",600
"11","Norway",591
"12","Cyprus",498
"13","Italy",477
"14","Finland",458
"15","Channel Islands",430
"16","Unspecified",344
"17","Austria",307
"18","Sweden",261
"19","Israel",256
"20","Denmark",251
"21","Japan",216
"22","Poland",204
"23","Hong Kong",191
"24","Singapore",178
"25","USA",163
"26","Canada",147
"27","Greece",138
"28","Iceland",103
"29","Malta",99
"30","United Arab Emirates",68
"31","RSA",58
"32","European Community",50
"33","Lebanon",45
"34","Brazil",32
"35","Lithuania",29
"36","Czech Republic",25
"37","Bahrain",16
"38","Saudi Arabia",9
